"Sku","Description","SubCategory","Fulfillment Cost","USA cost","Overseas Cost","Labor Cost","Alt Item Number","Alternate Product","On Order","Lead Time","Total Inventory","Tags","Active","Weight Amount","Weight Unit","Length","Width","Height","Dimensional Unit","External Site Product","Departments","Minimum Inventory","Maximum Inventory","Image"
"WALOVL0806","Walnut Oval Cutting Board 8x6","Wood Products","9.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","8","6","1","Inches","No","Engraving","0","9999","https://cwaprodstorage.blob.core.windows.net/images/80ac3872-858e-4f22-a03f-9cb186947a32Walnut Oval Thin Cutting Board 8x6.png"
"WALOVL1108","Walnut Oval Cutting Board 11x8","Wood Products","21.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","11","9","1","Inches","No","Engraving","0","9999","https://cwaprodstorage.blob.core.windows.net/images/e0fdc159-234e-4f85-8ede-9f8c5dcb64f0Walnut Oval Thin Cutting Board 11x9.png"
"WALOVL1109","Walnut Oval Cutting Board 11x9","Wood Products","21.5","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","11","9","1","Inches","No","Engraving","0","9999",""
"WALOVL1507","Walnut Oval Cutting Board 15x7","Wood Products","19","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","15","7","1","Inches","No","Engraving","1","9999",""
"WALOVLTHN0806","Walnut Oval Thin Cutting Board 8x6","","8","","0","0","null","null","0","0","367","MIH","Yes","5.6","Ounce(s)","8","6","0.5","Inches","No","Engraving, Wood","0","9999","https://cwaprodstorage.blob.core.windows.net/images/81892e02-d48c-4609-a51a-10cff11e9b89Walnut Oval Thin Cutting Board 8x6.png"
"WALOVLTHN1108","Walnut Oval Thin Cutting Board 11x8","","13.5","","0","0","null","null","0","0","0","MIH","Yes","10.8","Ounce(s)","11","9","0.5","Inches","No","Engraving, Wood","0","9999","https://cwaprodstorage.blob.core.windows.net/images/106058a8-3dad-4957-a325-6b72d5112cacWalnut Oval Thin Cutting Board 11x9.png"
"WALPAD1206","Walnut Paddle Cutting Board 12x6","Wood Products","15.5","","0","0","null","null","0","0","0","MIH","Yes","0","Ounce(s)","12","6","0.5","Inches","No","Engraving, Wood","0","9999",""
"WALPAD1507","Walnut Paddle Cutting Board 15x7","Wood Products","18.5","","0","0","null","null","0","0","0","MIH","Yes","0","Ounce(s)","15","7","0.5","Inches","No","Engraving, Wood","0","9999",""
"WALPADTHN1206","Walnut Paddle Thin Cutting Board 12x6","","9.5","","0","0","null","null","0","0","45","MIH","Yes","4.8","Ounce(s)","12","6","0.5","Inches","No","Engraving, Wood","0","9999",""
"WALPADTHN1507","Walnut Paddle Thin Cutting Board 15x7","","12.5","","0","0","null","null","0","0","0","MIH","Yes","4.6","Ounce(s)","15","7","0.5","Inches","No","Engraving, Wood","0","9999",""
"WALREC0812","Walnut Rectangle Cutting Board 8x12","Wood Products","15.5","","0","0","null","null","0","0","47","","Yes","0","Ounce(s)","12","8","1","Inches","No","Engraving","1","9999",""
"WALREC1117","Walnut Rectangle Cutting Board 11x17","Wood Products","30.5","","0","0","null","null","0","0","203","","Yes","0","Ounce(s)","17","11","1","Inches","No","Engraving","1","9999",""
"WALRECGRV0812","Walnut Rectangle Cutting Board with Juice Groove 12x8","Wood Products","21.5","","0","0","null","null","0","0","85","","Yes","0","Ounce(s)","12","8","1","Inches","No","Engraving","0","9999",""
"WALRECGRV1117","11x17 Rectangle Walnut Cutting Board with Groove","Wood Products","30.5","","0","0","null","null","0","0","8","","Yes","4.63","Pound(s)","17","11","1","Inches","No","Engraving","0","9999",""
"WALWOOD","Walnut Wood (Raw Material)","Wood Products","0","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","120","96","0.75","Inches","No","Inventory","0","5999",""
"WATERSTABILIZER","Badgemaster water soluble stabilizer 110-15-25 BADGEMASTER-3.15mil","Embroidery Supplies","0","","0","0","","null","0","0","14","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0",""
"WBB06N","Wooden Baby Brush","","0","","0","0","null","null","0","0","0","","Yes","1.2","Ounce(s)","6","1.5","1.5","Inches","No","Engraving","0","9999","https://cwaprodstorage.blob.core.windows.net/images/e8b77058-ac11-4838-8477-c88d1f55596binlineImage %282%29.png"
"WBX060606","Wood Box 6x6x6","Wood Products","6","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","6","6","6","Inches","No","Wood","0","0",""
"WBX101003","Wood Box 10x10x3","Wood Products","8","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","10","10","3","Inches","No","Wood","0","0",""
"WCD4X7","Wooden Closet Divider 4x7","Wood Products","0","","0","0","null","null","0","0","0","","Yes","1.1","Ounce(s)","7","4","0.5","Inches","No","Engraving","0","9999","https://cwaprodstorage.blob.core.windows.net/images/4e1fddaf-7b6c-4c23-99fb-c728d094a137inlineImage %281%29.png"
"WCLOTHBLK","Black Cotton Washcloths 12X12 100% Cotton","","4.5","","0","0","","null","0","3","99","","Yes","1.4","Ounce(s)","12","12","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/ecc653f9-8954-4469-8659-64cedb9f5f3881TXBsT8TXL._AC_SX679_.jpg"
"WCLOTHGRY","Gray Terry Cotton Washcloths 12X12 100% Cotton","","4.5","","0","0","","null","0","3","78","","Yes","1.4","Ounce(s)","12","12","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/832974a4-726b-4235-8862-959fb3850084Screenshot 2022-08-02 165700.png"
"WCLOTHWHT","White Terry Cotton Washcloths12X12 100% Cotton","","4.5","","0","0","EMBCUMRAG","null","0","3","696","","Yes","1.4","Ounce(s)","12","12","0","Inches","No","Embroidery","0","0","https://cwaprodstorage.blob.core.windows.net/images/b0b200bb-b9f6-4e4e-803f-fbeba751cd7c51DazDGVgbL._AC_SX679_.jpg"
